model,adapter,task,method,ttc,signal,bin,bin_position,mean,sem,n
FalconControl,control,pick_and_place_simple,react_ttc_monitored,16.0,action_p,4,0.5714285714285714,0.16604156699713915,0.007567335636577538,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,16.0,action_p,5,0.7142857142857143,0.15918421758860793,0.00794915279138354,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,16.0,action_p,6,0.8571428571428571,0.14677918014075433,0.007106476432425142,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,16.0,action_p,7,1.0,0.13624907078501236,0.006685711826871837,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,16.0,reasoning_entropy,0,0.0,0.9832932859326118,0.055059080821957845,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,16.0,reasoning_entropy,1,0.14285714285714285,0.8617847768401993,0.06369931004826979,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,16.0,reasoning_entropy,2,0.2857142857142857,0.22610503117737057,0.04935429170923628,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,16.0,reasoning_entropy,3,0.42857142857142855,0.271518308538988,0.040158382258066935,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,16.0,reasoning_entropy,4,0.5714285714285714,0.05281891479311523,0.024458493855905115,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,16.0,reasoning_entropy,5,0.7142857142857143,0.06066551421384349,0.0213052689009045,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,16.0,reasoning_entropy,6,0.8571428571428571,0.20685310890641248,0.03322642894677153,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,16.0,reasoning_entropy,7,1.0,0.27706720775942006,0.02639808009430808,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,16.0,action_entropy,0,0.0,0.25739912285159033,0.02637578244628017,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,16.0,action_entropy,1,0.14285714285714285,0.23332533002378317,0.02763760422248821,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,16.0,action_entropy,2,0.2857142857142857,0.05165124234756351,0.020887554175769228,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,16.0,action_entropy,3,0.42857142857142855,0.08009149241729069,0.02543716654438787,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,16.0,action_entropy,4,0.5714285714285714,0.027745917388205674,0.01430265075498751,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,16.0,action_entropy,5,0.7142857142857143,0.026345250412042436,0.01438642284371935,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,16.0,action_entropy,6,0.8571428571428571,0.08984274388995901,0.016392138884507784,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,16.0,action_entropy,7,1.0,0.11401572956755343,0.015424873042124818,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,32.0,reasoning_p,0,0.0,0.030614070013325757,0.009905431357367702,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,32.0,reasoning_p,1,0.14285714285714285,0.0457463304762818,0.010470500179071243,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,32.0,reasoning_p,2,0.2857142857142857,0.0753374711179608,0.008888143601017178,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,32.0,reasoning_p,3,0.42857142857142855,0.08568057715785876,0.007040223559888255,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,32.0,reasoning_p,4,0.5714285714285714,0.10070402044154676,0.006924718794565615,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,32.0,reasoning_p,5,0.7142857142857143,0.1033406644641424,0.006891591729338966,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,32.0,reasoning_p,6,0.8571428571428571,0.09092097418466136,0.005405422119027182,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,32.0,reasoning_p,7,1.0,0.08353038664054578,0.005015578623086863,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,32.0,action_p,0,0.0,0.1721197911910066,0.021294747552991,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,32.0,action_p,1,0.14285714285714285,0.188516513999558,0.019485977316946224,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,32.0,action_p,2,0.2857142857142857,0.19584536386063078,0.013528828129519681,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,32.0,action_p,3,0.42857142857142855,0.20496257993905198,0.011827971287020657,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,32.0,action_p,4,0.5714285714285714,0.20654453330834965,0.011196518347883093,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,32.0,action_p,5,0.7142857142857143,0.20546845795270877,0.011536374890148783,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,32.0,action_p,6,0.8571428571428571,0.1787846391225063,0.00920107364021636,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,32.0,action_p,7,1.0,0.173256454950042,0.008584785275874066,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,32.0,reasoning_entropy,0,0.0,1.1138719428213373,0.06664266553177249,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,32.0,reasoning_entropy,1,0.14285714285714285,0.9089417979579947,0.0788648220121128,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,32.0,reasoning_entropy,2,0.2857142857142857,0.38396030048415086,0.06812997355462282,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,32.0,reasoning_entropy,3,0.42857142857142855,0.25753551905377414,0.046947615318418214,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,32.0,reasoning_entropy,4,0.5714285714285714,0.08904120685114653,0.027401932245514123,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,32.0,reasoning_entropy,5,0.7142857142857143,0.13818974881467566,0.03241114479180855,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,32.0,reasoning_entropy,6,0.8571428571428571,0.2652630065981141,0.03593034784168818,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,32.0,reasoning_entropy,7,1.0,0.3179168686064393,0.029415439553182477,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,32.0,action_entropy,0,0.0,0.384839956721084,0.046351641688860364,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,32.0,action_entropy,1,0.14285714285714285,0.30820498081092307,0.043998525065975486,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,32.0,action_entropy,2,0.2857142857142857,0.10658639034308079,0.031328324570476775,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,32.0,action_entropy,3,0.42857142857142855,0.08444514983142047,0.029963357904601973,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,32.0,action_entropy,4,0.5714285714285714,0.03658627849141946,0.014042477278419613,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,32.0,action_entropy,5,0.7142857142857143,0.03775648467325381,0.014166969026254615,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,32.0,action_entropy,6,0.8571428571428571,0.058038070831025836,0.009512130847691846,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,32.0,action_entropy,7,1.0,0.07559014928346086,0.008625801838252282,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,64.0,reasoning_p,0,0.0,0.027490683753266854,0.008370879895165176,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,64.0,reasoning_p,1,0.14285714285714285,0.04052830973646504,0.009578105295039267,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,64.0,reasoning_p,2,0.2857142857142857,0.08596851705971485,0.007393212498756885,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,64.0,reasoning_p,3,0.42857142857142855,0.08836638545652653,0.006600330485343977,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,64.0,reasoning_p,4,0.5714285714285714,0.07725074473794948,0.005342228949037495,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,64.0,reasoning_p,5,0.7142857142857143,0.08315305967336539,0.005496320593936171,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,64.0,reasoning_p,6,0.8571428571428571,0.08442103906138437,0.005026966520902431,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,64.0,reasoning_p,7,1.0,0.07190516697997416,0.004342768407179223,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,64.0,action_p,0,0.0,0.12460084232411141,0.017531070790167583,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,64.0,action_p,1,0.14285714285714285,0.1388247096222282,0.017309293051815125,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,64.0,action_p,2,0.2857142857142857,0.18642136776244217,0.012563371587441917,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,64.0,action_p,3,0.42857142857142855,0.18927961886473454,0.01111898484209502,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,64.0,action_p,4,0.5714285714285714,0.15824838193429902,0.00867369973663987,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,64.0,action_p,5,0.7142857142857143,0.15302745018998393,0.008250388429350426,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,64.0,action_p,6,0.8571428571428571,0.139630596626112,0.007145130010334063,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,64.0,action_p,7,1.0,0.1259651950293502,0.006322704383407655,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,64.0,reasoning_entropy,0,0.0,0.9323360346037112,0.04866179365803633,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,64.0,reasoning_entropy,1,0.14285714285714285,0.8053954583560685,0.05324997248306267,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,64.0,reasoning_entropy,2,0.2857142857142857,0.27527155977017714,0.05395948050926363,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,64.0,reasoning_entropy,3,0.42857142857142855,0.43370139212483944,0.05546783023392786,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,64.0,reasoning_entropy,4,0.5714285714285714,0.0957739851916973,0.025960795647085068,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,64.0,reasoning_entropy,5,0.7142857142857143,0.10141254146655138,0.026690869507506102,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,64.0,reasoning_entropy,6,0.8571428571428571,0.19316891960625537,0.029556940900678456,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,64.0,reasoning_entropy,7,1.0,0.31301284806517155,0.02536705355196898,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,64.0,action_entropy,0,0.0,0.31073530784083736,0.036771073694456244,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,64.0,action_entropy,1,0.14285714285714285,0.2906484947093607,0.037799396712014745,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,64.0,action_entropy,2,0.2857142857142857,0.12361532280726048,0.035551676463255584,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,64.0,action_entropy,3,0.42857142857142855,0.1753053912805626,0.0427294282829184,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,64.0,action_entropy,4,0.5714285714285714,0.04193430034712138,0.013460008710249053,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,64.0,action_entropy,5,0.7142857142857143,0.039201658417813534,0.013512566469126887,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,64.0,action_entropy,6,0.8571428571428571,0.0954735154640932,0.01837795731806337,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,64.0,action_entropy,7,1.0,0.11212856124750235,0.012756755573807925,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,128.0,reasoning_p,0,0.0,0.03633644245101191,0.010641724500747215,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,128.0,reasoning_p,1,0.14285714285714285,0.04259880583096016,0.010716719086218756,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,128.0,reasoning_p,2,0.2857142857142857,0.08771804269364714,0.00828937863730886,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,128.0,reasoning_p,3,0.42857142857142855,0.09181424512650159,0.007219300681651624,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,128.0,reasoning_p,4,0.5714285714285714,0.08128340753881774,0.005441550831557158,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,128.0,reasoning_p,5,0.7142857142857143,0.08418374844784195,0.005405722944748904,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,128.0,reasoning_p,6,0.8571428571428571,0.0873733938981648,0.0055274986786918974,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,128.0,reasoning_p,7,1.0,0.07549402978710804,0.004731748781988602,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,128.0,action_p,0,0.0,0.11238414509635833,0.01651345289989317,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,128.0,action_p,1,0.14285714285714285,0.11398644804236634,0.01593329099802292,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,128.0,action_p,2,0.2857142857142857,0.18250076997436634,0.012496778624181172,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,128.0,action_p,3,0.42857142857142855,0.19584872042787202,0.011691157039764404,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,128.0,action_p,4,0.5714285714285714,0.16540723932364793,0.008245224865871665,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,128.0,action_p,5,0.7142857142857143,0.16117807497487066,0.008107526668381713,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,128.0,action_p,6,0.8571428571428571,0.1521615550429135,0.007673152987702221,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,128.0,action_p,7,1.0,0.13481488044740106,0.006988876746392607,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,128.0,reasoning_entropy,0,0.0,1.0520540783700265,0.05185752650140868,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,128.0,reasoning_entropy,1,0.14285714285714285,0.940953538992589,0.05983940609985055,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,128.0,reasoning_entropy,2,0.2857142857142857,0.3223954216640139,0.060463753884948436,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,128.0,reasoning_entropy,3,0.42857142857142855,0.45636554527063217,0.054325785224621836,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,128.0,reasoning_entropy,4,0.5714285714285714,0.13434181307915827,0.03673029355895162,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,128.0,reasoning_entropy,5,0.7142857142857143,0.13664740456901558,0.028459155824271436,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,128.0,reasoning_entropy,6,0.8571428571428571,0.27878825282612124,0.039205978677019505,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,128.0,reasoning_entropy,7,1.0,0.3811686913700618,0.03657848664055194,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,128.0,action_entropy,0,0.0,0.4595113981515169,0.043106340213805355,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,128.0,action_entropy,1,0.14285714285714285,0.42697168457347695,0.04262705816302208,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,128.0,action_entropy,2,0.2857142857142857,0.14299171751481482,0.03012049592963724,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,128.0,action_entropy,3,0.42857142857142855,0.1446219833625542,0.026111781733311874,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,128.0,action_entropy,4,0.5714285714285714,0.031715226780781654,0.009426802471327565,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,128.0,action_entropy,5,0.7142857142857143,0.03354686748308369,0.009578124274687664,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,128.0,action_entropy,6,0.8571428571428571,0.1445656757314686,0.02194531092761676,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,128.0,action_entropy,7,1.0,0.13986566053289506,0.018325989960479298,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,256.0,reasoning_p,0,0.0,0.030649356723463375,0.010075230177830853,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,256.0,reasoning_p,1,0.14285714285714285,0.045678392864386325,0.01105393609091071,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,256.0,reasoning_p,2,0.2857142857142857,0.08240442423240757,0.008292640875070883,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,256.0,reasoning_p,3,0.42857142857142855,0.08372685693304989,0.0070270899356109865,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,256.0,reasoning_p,4,0.5714285714285714,0.08154914577857786,0.005992146323108349,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,256.0,reasoning_p,5,0.7142857142857143,0.08527200298770987,0.006045750679163285,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,256.0,reasoning_p,6,0.8571428571428571,0.0825571155634514,0.005675677190267935,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,256.0,reasoning_p,7,1.0,0.07236787236517118,0.004992685616509374,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,256.0,action_p,0,0.0,0.13639340562513097,0.01887771794874174,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,256.0,action_p,1,0.14285714285714285,0.15303255971197763,0.018153157363195144,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,256.0,action_p,2,0.2857142857142857,0.19548760332755694,0.014111199212163326,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,256.0,action_p,3,0.42857142857142855,0.2015459957325624,0.013700951807595322,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,256.0,action_p,4,0.5714285714285714,0.16883076720439863,0.00934774747927091,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,256.0,action_p,5,0.7142857142857143,0.16222735570963576,0.00914818665072882,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,256.0,action_p,6,0.8571428571428571,0.14918879760234777,0.008037475005786016,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,256.0,action_p,7,1.0,0.14179120960881134,0.007606280650192086,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,256.0,reasoning_entropy,0,0.0,1.0663182566232239,0.05481002368651161,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,256.0,reasoning_entropy,1,0.14285714285714285,0.9226123232841809,0.06552661045852398,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,256.0,reasoning_entropy,2,0.2857142857142857,0.4173469702001281,0.06850325233716005,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,256.0,reasoning_entropy,3,0.42857142857142855,0.4214991008050698,0.05920081781839265,90
FalconControl,control,pick_and_place_simple,react_ttc_monitored,256.0,reasoning_entropy,4,0.5714285714285714,0.1188392710189177,0.027160826852086095,90
